Comment,VADER Sentiment,TextBlob Sentiment,Pattern Sentiment
people in this comment section clearly don't understand how weather works. y'all be denying fact till fire rain from the sky.,Negative,Positive,Negative
yea we had no rain,Negative,Neutral,Neutral
in my area it wa hot. like it wa cold for 2 week in january then everything wa way above average!,Positive,Negative,Negative
well they just started recording like 100 year ago.,Positive,Neutral,Neutral
in s.e. n.s.w australia it wa not overly hot for me. actually felt cooler than 20 30 40 yr ago in my opinion and this summer is quite mild i feel compared to other decade in my opinion but...i can only speak for where i live. i see the opinion vary from absolutely it's hotter to absolutely not...... so ?,Neutral,Positive,Positive
save the earth backhand index pointing down backhand index pointing down,Positive,Negative,Negative
every yr feel hotter at this point!!!! weary face,Negative,Neutral,Neutral
it's so hot!!!!!!!!!!!!!!!!!!!!,Neutral,Positive,Positive
it wa the hottest year ever in arizona. this year wa so hot that even the wild cactus started to die.,Negative,Positive,Positive
for the past 10 year it’s been the hottest year ever,Neutral,Negative,Negative
"definitely not in the uk. it wa hot two week in june and one week in august, around 30 degrees. apart from that it ha been rainy and cold all year long.",Positive,Negative,Negative
"i live in eastern canada,,, and we had the coolest wettest summer in the 59 year that i have been living on the eastern canadian coast..",Neutral,Positive,Positive
blame the auto industry for this. carbon build up throughout the year made our climate the way it is,Negative,Neutral,Neutral
it wa miserable here in texas. so i am enjoying this artic blast,Positive,Negative,Negative
south carolina definitely did have the hottest summer and since it’s been winter it’s been colder than usual,Positive,Negative,Negative
i wish it wa here in denmark it hasn’t been nothing but blizzard blizzard and rain,Positive,Neutral,Neutral
much gas,Neutral,Positive,Positive
"""more need to be done to slow down the effect of climate change."" instead, just look at the problem itself. le need to be done to reduce climate change.",Negative,Positive,Positive
the bible say the earth would be destroyed through fire. and the warmest year ever recorded have been happening.,Negative,Neutral,Neutral
"that’s it. the end of the world, we’re all going to die fire",Negative,Neutral,Neutral
africa wa supposed to have a winter last year. it wa even hotter than their regular summers. that how hot the earth got!,Neutral,Positive,Positive
yes,Positive,Neutral,Neutral
stop harp and stratospheric aerosol injection,Negative,Neutral,Neutral
ask yourself... in the heatchard over the year.. there wa 1 that wa cold... it wa the only year in the past 30 year that there wa not 1 single war in the whole world. so do you know that all the bomb and stuff in the world create 10 time a much pollution in the world then all the fabric airplane and farmer together?!?!?,Positive,Negative,Negative
water drying up is the biggest issue. he's the first person that i've heard talk bout this on tv. everything only going get worse and i don't think people really understand that,Negative,Positive,Positive
we are so doomed,Negative,Neutral,Neutral
and it's asshole like y'all cdc and that little weasel that claim to be dr face why nobody ha any trust and faith in the scientist anymore you people have destroyed it,Positive,Negative,Negative
i think human will begin to become extinct in 50 year then the planet can begin to heal back.,Neutral,Negative,Negative
"world economic forum is an international non-governmental and communist lobbying organization. their motto ""you will own nothing and you will be happy"". in other words, shut up and work and we the elite will own everything (communism). ref goal and methods phase 1 tyranny wa the aim, covid wa the excuse. phase 2 more tyranny is the aim. climate change is another excuse. phase 3 censorship, government surveillance, digital identity, castles society, digital currency, social credit system (like in china), qr codes/passports. phase 4 you are screwed! unless 'we' can prevent phase 3",Negative,Positive,Positive
"a anyone on the soprano would say, ""yyyy, listen to chicken little over here!""",Neutral,Negative,Negative
"it's so breaking cold outside, i want a refund!",Positive,Negative,Negative
"the disclaimer in this video is wrong. it read “long-term shifts” in the climate. that’s wrong. the problem is that these aren’t long term shifts, they’re incredibly short-term shifts, which mean our environment can’t adapt. the core problem of climate change is how quickly the environment is changing. get it right or don’t do it.",Negative,Positive,Positive
yes we are now witnessing a climate disaster that will only get worse. about four year ago we noticed it in our weather pattern. i have no doubt. even is we stopped all green house / carbon gas today we would still see the climate getting worse for the next few tears. but we won't do that. instead we a the human race will figure way to live with the worsening climate and continue to poison our world. and we call ourselves the most intelligent life form on the planet!,Negative,Positive,Positive
banned the fuel now !!!!!!!!!!!!!!!!!!!!!,Negative,Neutral,Neutral
"weird that people like barack obama , are not afraid to buy and build multi million dollar estate right on the ocean! how do they get insurance coverage? you would figure that the really smart and shrewd crook running insurance company would know about global warming. weird.",Positive,Negative,Negative
"recent the kingdom of heaven is at hand! recent the lord god messiah king jesus christ is coming back soon! for behold the day comet that shall burn a an oven, all the proud yea and all that do wicked shall be stumble! the day that comet shall burn them up that the lord of host the will leave them neither root nor branch! god so loved the world that he gave his only gotten son that whatsoever believe in him should not perish but have everlasting life for the wage of sin is death but the gift of god is eternal life through jesus christ is! recent and get baptized in the name of jesus christ for the remission of your sins! if you don't recent of your sin you will die in your sin and you will be lasted into hell after hell you will be lasted alive into the lake of fire to live and burn in great fire heat brimstone and torment for ever and ever! recent the escape the wrath of god the son of god the holy father the holy son and the holy ghost! it going to be worst then sodomy and gormorrah! recent! and get washed in the blood of god almighty the creator the most high the lamb of god!",Negative,Positive,Positive
these gas will disappear with higher frequency,Negative,Positive,Positive
"plague, famine, floods, and fire that sound so familiar .",Negative,Positive,Positive
"there is no such thing a green energy. co2 is good. fossil fuel are good. there is no ""climate crisis"" walk outside, breath deeply, and take a kid fishingHappy we have been lied to.",Negative,Positive,Positive
notice how the climate cult only get ruled up during the summer months. rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing everyone see the trend......every year.,Positive,Neutral,Neutral
"a heat, in the form of infrared radiation, radiated away from earth’s surface, the only thing that slows down it escape are the heavier atmospheric gas such a carbon dioxide commonly called ‘greenhouses gases’. this blanking effect keep our planet from being a perpetual ball of ice.",Positive,Negative,Negative
go back to the 1800s get rid of everything we don't need. break down house's and plant trees!,Neutral,Negative,Negative
what??! another convenient emergency that give our government unreasonable amount of power over our lives?!!! man if only we could block the sun with space bubble,Negative,Neutral,Neutral
*this morning’s top headline – july 28 | morning news now* backhand index pointing down backhand index pointing down backhand index pointing down backhand index pointing down backhand index pointing down backhand index pointing down backhand index pointing down backhand index pointing down httpsConfused/youtu.be/3i1bpazubhy,Positive,Negative,Negative
plant trees?.. stop cutting tree down. the lung of mother earth. yin yang yin yang peace symbol peace symbol infinity infinity,Positive,Negative,Negative
so the global warming tax that american pay are going to be shared equally by all the global countries? got it,Positive,Neutral,Neutral
by the way all those union pig that called u crazy . took our gun our right our dignity. all oil soaked pensions. corruption is genocide!!!!!,Negative,Positive,Positive
"20,000 year from now mother earth would save itself..and civilization would be hard to find..",Positive,Negative,Negative
"this is false information, produced from selective data. while planting tree and preventing contamination of air and water is imperative due to deforestation and poor practice the notion that our climate is changing due to man made co2 level is ludicrous. we need to get back to responsible behavior based on reality instead of these preposterous assertion of false science. boiling oceans, bleaching of sea corals, mass extinctions, sea rising by ten of meters, unbreathable co2 level across the globe. true naturalist and conservationist will do the right thing without these ridiculous lies. and that is exactly what they are.",Positive,Negative,Negative
"the planet is 7.5 billion year old, who wa here to put out the fire lightning caused a billion year ago in california, the flintstones? if left would stop starting fire to advance their ""man-made"" climate change, there would be no problem. people have already been arrested for purposely starting fire including a college professor this last summer. the leftist medium is not in any hurry to report this issue, you have to dig deep to expose these articles. ""400,000-year global chart"" will show the planet heating up run in cycle every hundred thousand years. the road to socialism is ""climate change."" take the detour.",Negative,Positive,Positive
maybe consider stop purchasing and consuming animal product,Negative,Neutral,Neutral
all the news channel do is sit and complain so they have news to talk about.. there's billion and train of plastic item that all need to be recycled soon a they break them factory keep going and going and going until the planet is destroyed and all the water they use they have so many pipe in the bay and it spit out in the bay! they're putting this world so fast even if we send all of our factory to china they have to walk around with mass on because of all the factory in certain area in china because of all the factories. the wind will blow and we still are breathing in the toxin fumes. and fast fwd 20 more years! ozone sun ray will cause even more skin cancer and water get worse and u name it. stop quarter a billion factory now! from our kid hurting and there kid in future will have to suffer! stop stop factory asap! who in charge!??,Negative,Positive,Positive
"wild fire are going to put many more ton of carbon in the air, and then there will be le forest to filter out the carbon from the air. we are already in a feedback loop.",Negative,Positive,Positive
"the human primate is undoubtedly the most brilliant of any animal species but at the same time, it is also the most profoundly stupid. no other animal consciously destroys the very environment it is dependent upon for survival, except for the human. in our ignorant quest to destroy the planet, we are also causing the elimination of million of other animal and plant species. earth is currently in the midst of the sixth mass extinction. the previous extinctions, mostly attributed to climate change, killed an estimated 75% to 96% of all living things.",Negative,Positive,Positive
"climate change is a lie. the type of climate are tropical, desert/dry, temperate, polar, mediterranean. there ha yet to be any instance of one climate in any area on earth changing from one climate to another or any evidence thereof. (1) zero, nada, yet, none! 1. u.n. study on climate change; c. w. thornthwaite, ""an approach toward a rational classification of climate"", geographical review, 38 55-94.",Positive,Negative,Negative
"the forestry major in the west are trained to delieniate trees, which weakens the tree and cause forest fires. what joe biden can do is transition these forestry major into the new green energy sector, because we don't want them to weaken the tree any further, which wa something that wa secretly implanted into our society possibly by the cabal? tree delieniation wa most likely introduced into forestry major by the cabal. and that's why these weak tree are now catching on fire more than ever. the secret plan to weaken our tree wa done by the deep state to destroy our planet. summary---> these wicked people from outer planet knew that weakened tree will cause forest fires. so they stuck this into the forestry curriculum.",Negative,Positive,Positive
*not an emergency* all a dem scam,Negative,Neutral,Neutral
"oh no, fear!!! bullshit",Negative,Neutral,Neutral
mankind finally remembers that oil is a compressed tree. now we can continue to say that climate warming is a lie,Positive,Neutral,Neutral
"time to start burning down factory and corporations, before they completely burn down our earth",Neutral,Negative,Negative
no one is buying this nonsense anymore.,Negative,Neutral,Neutral
fukushima nuclear meltdown into the pacific ocean and atmosphere radioactive radioactive radioactive radioactive fire fire fire fire fire fire fire fire fire tornado tornado tornado tornado tornado tornado tornado march 11 2011,Negative,Neutral,Neutral
some people only see and understand a crisis when they start to burn. i am worried about a thermal runaway effect. the hotter this planet get the more fires. the more fire the more co2 the more co2 the hotter it gets. then even more fires...but which ever way global warming is going. it should be treated a a worldwide state of emergency now. not when you start burning later.,Negative,Positive,Positive
i don’t guess all those massive military weapon blowing up into the climate is harming it one bit. they sure do seem to do a lot of damage. but we sure can’t give up those thing though.,Negative,Positive,Positive
"a few year back it wa acid rain, didn't materialize. then it wa the ozone layer that wa deteriorating, didn't materialize. not buying into global warming either, in a few year we won't hear about it either. the earth go through natural warming and cooling cycle throughout history. god will control the weather and the climate, he's perfectly capable and he don't need our help.",Positive,Negative,Negative
1° is a crisis,Negative,Neutral,Neutral
biden shut down the keystone pipeline which made the united state energy dependent on other country and he wanted war with russia. europe shut down there energy and use only solar and wind. now the energy crisis is starting to become very obvious. energy dependent europe must now rely on coal. which will increase greenhouse gas by 40 percent that's just europe causing a 40 percent increase in greenhouse gas world wide where is great doomsburg. this is really going the wrong direction under biden.,Positive,Negative,Negative
"1960’s expert said we would run out of oil in ten years. 1970’s expert claimed in ten year another ice age would be upon u and we trained in school for imminent nuclear war… 1980’s expert predicted acid rain would wipe out all the vegetation and we would starve within 10 year 1990’s expert said the ozone layer would be depleted and we would all die from radiation poisoning within….. 10 year 2000’s y2k and within 10 year the polar ice cap would be gone. 2010 within 10 year the east and west coast of the usa would be under water. the only thing accomplished by all this fear wondering were huge bureaucracy created and funded. tax hike and a federal debt that most likely can’t be repaid. don’t get me wrong, we do not understand how to live on this planet…. the american indians, aboriginal, and many other indigenous could show u the way… i just don’t see anyone giving up their cars, air conditioning etc.. bottom line it’s not science all politics, driven by the almighty dollar….",Negative,Positive,Positive
"it's too late. we should've been doing something 50 year ago, yet we still aren't doing anything. humanity is doomed and that's just the simple reality. honestly it for the best. we are the worst thing to happen to this planet.",Negative,Positive,Positive
"*uv battery come from slave labor using child in africa* so we are using our enemy solar panels, ccp, so they can control us, tyrant that use slave labor with child in africa to produce our battery - where do you draw the line for human rights? when we have a good backup plan until we're all up to speed human - using uv battery is being part of abusing helpless child in the slave trade - look it up - we're better than that fb lb",Negative,Positive,Positive
just watch the bottom of the screen on the aljazeera news channel. just about every day there will be at least 2 or 3 extreme climate event somewhere in the world.,Neutral,Negative,Negative
the sky is falling! the sky is falling!,Negative,Neutral,Neutral
around this whole world and let's stop all the smoking and vaping,Negative,Positive,Positive
so how do we know when the climate crisis is over? i bet it will be when we have no money left.,Negative,Neutral,Neutral
zero concern let create a scare or disaster that know one can explain or stop to scare the fools. you are being lead into the web of the antichrist fools.,Negative,Neutral,Neutral
i can solve global warming i will wait for the united nation to resolve the issue of global warming in thailand. #un,Positive,Neutral,Neutral
there is no climate crisis. this is all about taxation. there is nothing we can do about climate changing. it wa going to change with or without us. it is what it is. just move on and live life the best you can.,Negative,Positive,Positive
rain ha been engineered before. whats the problem,Negative,Neutral,Neutral
"acting too late with too little ensuring a nightmare world for our child and ourselves, largely thanks to the fossil fuel company with their paid political hacks.",Positive,Negative,Negative
global warming alert httpsConfused/youtu.be/h7lgkjvaqt4 httpsConfused/youtu.be/boaledger1c,Positive,Neutral,Neutral
ask the scientist how can humanity stop a magnetic reversal???,Negative,Neutral,Neutral
people don’t realize this is very real woman facepalming coming from a 17 year old,Neutral,Positive,Positive
voodoo! new video!,Neutral,Positive,Positive
you know the solution is impossible when politician are involved,Positive,Negative,Negative
"but what if you can't change the political power structure? in this case the first enemy i see it's the state itself. first of all we must achieve real rights, force the state to obey, and only then try to do something about the problem of humanity. otherwise, it will turn out a always - politician win, the people got nothing. just voting is often just a scam, created, like everything else, to legitimize the government in the eye of others. a a russian, i'm telling you this.",Negative,Positive,Positive
climate change isn’t real enraged face enraged face enraged face - karen,Negative,Positive,Positive
"beef is not that impactful on the environment. land used by cattle cannot be used in agriculture in the first place. water drunk by cattle is printed and seated away like every other living creature which contributes to the water cycle. over 84% of cattle food is non-human edible and in the case of non-monogastric animal like cows, that percentage rise to 90%. methane coming from all livestock contributes to just 2.7% of the total greenhouse emission of the us.",Positive,Negative,Negative
"here is the reality. if you drastically cut any of these industry or make any of these thing that our life depend upon more expensive, people will die. if we dont do anything, people will die. our society is simply reliant on the lifestyle that we have now. pick your poison.",Negative,Neutral,Neutral
no such thing a an out of control climate change.,Negative,Neutral,Neutral
"extinction-level event the era of honest scientific study is dead. it died by political grant. these paid for production are right up there with the salem witch climate crisis or don't fall off the earth flat partners. you'd think being wrong 100% of the time would bring at least a pause , a question, but no....... shame on you oddly the cure for what ever flavor of today climate crisis happens to be is always the same, more tax , wealth redistribution and liberty lost",Negative,Positive,Positive
*capture this* humanity will ruin this planet period,Negative,Neutral,Neutral
this is the most sensible and coherent video made and should be a driving force for everyone.,Neutral,Positive,Positive
it easy... stop having kids!,Negative,Positive,Positive
it not the individual responsibility to fix it. no one should change there lifestyle but the responsibility belongs to those who can come up with a solution.,Positive,Neutral,Neutral
"well, eating le meat is debatable a it alternative arn't better and buying an electric car depends on how the energy is produced in your country, and it's maybe no a good idea if you already have a working car, because it make a lot a co2 to construct",Positive,Positive,Negative
our problem is trade.,Negative,Neutral,Neutral
"no solution will ever stop volcano from eruption, which is where most of green house gas come from. mt. pinatobu in 1991 released more co2 into the atmosphere than humanity ha in it’s entire existence, and the annual bush fire season that sweep across the western u and australia set back out effort by 3 years, and again that happens every year.",Negative,Positive,Positive
"politics are about the slowest gear in the machine thats called society, but simultaneously it also one of the most powerful ones. though forcing the big corp to reduce emission to near zero fast is like trying to move thor's hammer. and you will never be worthy. it's because of the force of habit and technology fatigue. changing the way thing are being made requires alot of dos, dos those company aren't willing to invest cu ""why change a running system?"" plus most of our product are being produced in poorer countries.",Negative,Positive,Positive
what happened to the title of the video? hacked by turkish hackers? or done accidentally by turkish staff members?,Negative,Neutral,Neutral
yes we could fix climate change but it would probably be in moral a f*** so we don't do it,Positive,Neutral,Neutral
"i see the climate change a throwing trash in the street. if you don't do it, you're helping, of course. but it's too little. if we don't do it, we're helping, of course. and it'll help a lot. we need personal responsibility but at the same time, we need to focus on the industry, politics and other stuff. my parent teach me to, not throwing trash in the street, using le plastic bags, and a large etc. english isn't my native language.",Positive,Negative,Negative
"so, basically, we're sucked",Negative,Neutral,Neutral
this is what i wish for...,Positive,Neutral,Neutral
you'll get your climate when you fix this damn door!,Negative,Neutral,Neutral
i won't bother doing my part if companies/govt's don't.,Positive,Neutral,Neutral
"tl;dr we're sucked. we aren't even at *this* stage of the debate. huge swath of the global population still reject that this is even happening. corrupt politician have turned this into a political issue, when it should be something that we are all very concerned about. by the time enough of u acknowledge that climate change is happening, altering it course will be a gone possibility.",Negative,Positive,Positive
"the problem is, we people are just lazy bastard. we value our comfort and wealth more than the entire biosphere with fate our descendants, and we are not really willing to lower our standard of living, which, for almost everyone in relatively rich country (richer than pakistan, afghanistan etc.) is ridiculously bloated anyway. unfortunately, we don't think about future generations, who don't have a voice (yet).",Negative,Negative,Positive
your solution is voting is politicians? wahahaha nah we are sucked.,Negative,Neutral,Neutral
yes!,Positive,Neutral,Neutral
"i get the point you are trying to make. but during covid, we didn't consume less. we consumed more.",Neutral,Positive,Positive
this video wa supported by bill gates. not even a meme.,Positive,Neutral,Neutral
so you're saying we should abolish capitalism? agreed.,Positive,Neutral,Neutral
"what about selective waste collection? that react a same tiny lot if lot of people do it? (like food, and electric car, and light safe)",Negative,Positive,Positive
could you please talk about the difference between fossil carbon and green carbon?,Positive,Negative,Negative
liberal should watch this they are too simplistic in thinking.,Neutral,Negative,Negative
"the solution is obviously, fewer people.",Positive,Neutral,Neutral
"the only way to stop climate change is a global emission trading, with every major industry taking part.with an absolute emission cap, this will make climate friendly technology cheaper than emitting co2. but the problem is getting everybody on board. this is the single biggest prisoner's dilemma we have on earth. i sometimes doubt if we can manage this, but it seems the only way...",Negative,Positive,Positive
trust the science br0. don't forget that in the 70 they thought we'd be in the next ice age,Positive,Neutral,Neutral
with biden here this situation will get fixed,Neutral,Positive,Positive
also population though... everyone dance around that the global population need to stop growing & maybe even shrink a little; it would undeniably help.,Positive,Negative,Negative
thank you i hope the we work together a climate change,Positive,Neutral,Neutral
"@jaxswinsflawlessvictory tell them when a science cant explain the heat wave of 1930s and 1540s that killed 1 mil ppl , but belief today situation despite all recorded data show improvement , is worsening and a doomsday awaits u (recorded data show drought are declining, storm are declining, climate death declined tremendously, earth is 15% greener and etc) it obviously not science , it propaganda !",Negative,Positive,Positive
"how can carbon dioxide be a greenhouse gas when it is 1.5 time heavier than air? when it is emitted it only rise to a small extent and then eventually fall to the ground and dissolve in the earth's oceans. this is why it atmospheric concentration is only 0.042%. in my opinion is that those who own everything and make the decision are greedy sum-bags. they are the one that create war and crisis in order to milk the people out of their taxes, and this includes the current hysteria of ""climate change"". they are the one that jet around the planet and tell u that we a facing a climate crisis, and that we need to resort to eating bug instead of meat. meanwhile they live in castle and have much more than they need. if any global warming happens it is completely due to the sun. i find that the rapid human population growth and the stage of resource is a greater problem for the planet. soon the planet will reach 9 billion and everyone will want to live like an american. the solution? nuclear power is the way to go.",Negative,Positive,Positive
personally i couldn't care about climate change . after the just stop oil lot have pissed every one off i don't care anymore.,Negative,Neutral,Neutral
"climate ha been changing for ever, always will. next, they will tell you there is no border emergency but there is a climate emergency.",Negative,Neutral,Neutral
moral of the story we are screwed,Negative,Neutral,Neutral
climate change is hoax,Negative,Neutral,Neutral
plz .another one video party copper,Positive,Neutral,Neutral
bullshit,Negative,Neutral,Neutral
"the northern hemisphere is 33% greener than it wa in 1900. sea level are rising at the same rate a they were in 1865. the hottest decade on record sine the ending of the ""little ice age"", wa the 1930s into the early 1940s. the earth cooled from from 1940 to 1979 by .3° c. there wa no warming between 1998 and 2015, the earth ha not warmed since 2016. from february 2016 to february 2018, global average temperature dropped by 0.56° c. the earth wa warmer, there wa le sea ice, and the sea level higher during the ""medieval warm period"". 2022 summer arctic sea extent wa greater and the ice thicker, than it wa in 2008. antarctica ha been gaining 112 billion ton of ice a year since 1992. yet according to nasa 2022 wa the sixth hottest year on record. there is no mass extinction event occurring due to climate change, the polar bear population is five time what it wa in 1960, and at it highest ever recorded. in 2019 more child died from problem associated with obesity, than from malnutrition or starvation. in 2020 the united state produced 25% more food than it needed or could export. all major crop yield have increased three fold since the 1940s, due in no small part to increased co2 in the atmosphere. co2 is a greenhouse gas, however it ha never been proven that concentration of co2 will cause warming, in fact we know from ice core that co2 concentration lag behind period of rapid warming. the world population ha exploded, however it wa expected to top out at nine billion, and then begin decreasing. the reason being that a developing nation become more prosperous, they tend to have le children. by depriving developing nation access to cheap fuel, they are forced to burn wood and dung to cook, light and heat their homes, causing massive health problems, deforestation, and leading to a mass extinction event a they kill local wild life to sustain themselves with protein. bottom line..... there is no ""climate crisis"" walk outside, breathe deep, and smile.",Negative,Positive,Positive
"another scary video about climate change to give kid nightmares. look at the climate for the last 15,000 year and you have dramatic changes. thousand of foot of ice covered new york city. sea level wa 400 foot lower. there were huge temperature change between 8 and 13 thousand year ago. between 1901 and 2018, the globally averaged sea level rose by 15–25 cm, or 1–2 mm per year on average.",Negative,Positive,Positive
i hope the world will work together to solve global warming.,Positive,Neutral,Neutral
for beginner in bullshit.,Negative,Neutral,Neutral
the only problem for everything is the capitalism,Negative,Neutral,Neutral
may the anthroprocene epoch make the persian-triassic extinction event seem like a minor footnote in the page of earth history. here's to making scenario ssp5-8.5 of the ipcc assessment a reality.,Positive,Negative,Negative
tony helper say bullshit,Negative,Neutral,Neutral
mental abangkuhhhh,Neutral,Negative,Negative
"why do all the people who believe in ""climate change"" buy million-dollar home on the ocean if ""climate change"" is a real and true danger? answer that.",Negative,Positive,Positive
"why are these video getting such low view count, i don't get it",Negative,Neutral,Neutral
co2 emission do not cause climate change. it’s chemically impossible.,Neutral,Negative,Negative
the planet can only sustain a certain level of population and very few world leader are addressing this.,Positive,Negative,Negative
"we have made the fatal error of being too dependent on other countries. china ha been the world’s largest producer of pharmaceutical ingredient since the start of the millennium, and it now produce 60% of all intermediates, which are the essential building-blocks for the active ingredient used in medicines. although both the european fine chemical group and aschimfarma, through it vice-president baccalini, have shown that europe can cover 90% of the production and technology requirement for the 350 pharmaceutical tested, it is home to just one laboratory covering all the stage in the production of life-saving antibiotic such a penicillin. the eu is 85-90 % dependent on the chinese market for all ingredient and 33% dependent on it for active ingredients. wake up people. i extra made a song that talk about this and other issues.",Positive,Negative,Negative
"i certainly admire anyone's passion, to clean up the planet, but it seems, that a some people's passion grow....their brain shrink. a a power engineer for 42 years, here is what i know. roughly 75% of our electrical demand (our lights/heat/air cond./phones/internet/etc), that we take for granted, is supplied from fossil fuels. roughly 25% come from a combination nuclear plants, hydro plants, windmill & solar panels. biden & trudeau (for u canadian), shutting down the oil & gas industry, doe not solve anything. if fossil fuels, still make up 75% of the supply, to fill the demand, if we're not drilling/processing the oil & gas..........the 75% of demand, ha to come from somewhere, otherwise we'd all be sitting in the dark, with no lights/heat/air cond./phones/internet/etc....the fact is this biden & trudeau are shutting down the oil & gas industry here in the sofa & canada, and spinning it, that they're doing it to clean up the planet, but are actually still burning the oil & gas, to supply the 75% that we need........but they're buying the oil & gas from saudi arabia/middle east & venezuela. having typed all of that, the cure is not to stop burning fossil fuels...........it's to stop burning the bad/toxic fossil fuel (i.e. coal, #6 fuel/bunker c, and diesel fuels). if the whole planet could stop burning the bad fossil fuels, i'm convinced that the planet could heal itself. quit being lazy. look at photo online of smoke stack burning coal, and then look at stack burning natural gas.....you'll be amazed at the difference.",Positive,Negative,Negative
climate change is a scam made up by al gore and his partner,Negative,Neutral,Neutral
all är held normal inlet konstigt politiken luger bara vädelösa politiken,Neutral,Positive,Positive
global warming is when i cook my breakfast egg outside on the car`s hood,Positive,Neutral,Neutral
coldest may morning on record in tamworth nsw.? global warming,Positive,Neutral,Neutral
there is proof that we are coming out of an ice age. what happens when we come out of an ice age? the earth gradually warms up!!,Positive,Neutral,Neutral
"pushing lies, subscribed",Negative,Neutral,Neutral
arbeitsauftrag schedule fatal,Negative,Neutral,Neutral
question static charge produce an electric field around itself. but how doe a moving charge produce a magnetic field around itself?,Neutral,Positive,Positive
"until it’s financially beneficial for corporation to go green, not much is going to change significantly. we individual can certainly at least not contribute to this mess.",Positive,Negative,Negative
burning fossil fuel have allowed for billion of people to thrive on earth. remember what life wa like before mankind used fossil fuels...your life sucked and you died in your 40's,Negative,Neutral,Neutral
i am just waiting for city to make actionable change in location to plan infrastructure if they are actually concerned otherwise. i care alot less.,Positive,Negative,Negative
"there is no such thing ,it's always been like that since creation .earth will figure itself out and protect itself, don't need human intervention.",Positive,Neutral,Neutral
please protest at the home and family of the ceo of oil company and mining companies. they are the top 5% of income earners. please stop protesting and blocking my road with banner and going yourselves onto the road.. we are the bottom 50% of income earners.,Negative,Positive,Positive
i will start to worry well i see al gore stop using his suv or great t. stop using her phone (it take the equivalent of 50 coal burning power plant to run). a an older american i can tell you climate science isn't about science at all. it's all about billion in research dollars.,Neutral,Positive,Positive
"this is total bullshit. nature produce 97% of co2. volcanoes, swamps, rice padding, fallen leaves, and even insect and bacteria emit ten time more co2 than all the factory and automobile in the world. even natural wetland emit more greenhouse gas than all human activity combined.",Negative,Positive,Positive
big mistake. human can not change the climate only the environment. this video must be sponsored by wind power or solar power companies.,Negative,Neutral,Neutral
ok tie into the subterranean desertification caused by the removal of thermal protective substances. the core heat then get to surface causing all sort of issues. that heat loss from core then change the magma viscosity and thus the observation you have made. that heat especially change the tropical current causing the meteorological extremes. the emission greenhouse gas the leader try to download the responsibility to future generations. this removal of our reflection shield pool of crude oil being the purpose in our spacecraft earth ark.. well the cost of so called fossil fuel is much greater knowing this!,Negative,Positive,Positive
the climate ha always been changing from ice age to tropical. the climate hysteria is a farce and a scam. if they were serious they would look to the root cause. too many people. human extermination should be their logical solution. why isn't it? because it's really about money. follow the money.,Negative,Positive,Positive
"question everybody is balanced if it center of mass pass through it base. but in the banking of the cycle, the cycle is ultimately balanced but it center of mass is not passing through it wheels. (base) how doe a banking cycle balance?",Neutral,Negative,Negative
"bullshit global warming wil end---god's way the bible tell u that ""the former of the earth and the maker of it.... did not create it simply for nothing."" (sarah 45 18) the bible also says ""the earth endures forever."" ---ecclesiastes 1 4, the new english bible. yes, god will not allow the earth to be rendered uninhabitable. rather, he will intervene in human affair and bring an end to failed human rule and those who have no regard for the earth. at the same time, he will preserve alive all who lead morally upright life and sincerely want to please him. say proverb 2""21, 22 ""the upright are the one that will reside in the earth, and the frameless are the one that will be left over in it. a regard the wicked, they will be cut off from the very earth; and a for the treacherous, they will be torn away from it.""",Negative,Positive,Positive
we need to move to renewable resource asap. but the oil mafia will never allow this. human greed will lead to fall of humanity. ;(,Negative,Neutral,Neutral
it hurt because the earth seems to be changed and destroyed by the development of society and human greed. i hope we can work together across the community and globally to mitigate climate change and global warming.,Negative,Neutral,Neutral
see global warming mean earth is setting itself like in the beginning how it use to be dash,Positive,Negative,Negative
how can you be correct with only 200 year of weather data if that. when the earth ha been around for 4.5 billion years. you don't even have 1% of the knowledge of the earth's life.,Positive,Neutral,Neutral
"remember that gentleman on tv that stated, ""the ocean will rise to the height of the elbow on the statue of liberty! rolling on the floor laughing our great predicted humanity would be obliterated within five years!?? wa it al gore that claimed ""no more snow, no ice in the arctic region by 2013 (or wa it 2016?) either way it never happened. senator john kerry, apart from his other fantasy tales, actually stated ""we have to learn to control hurricanes!"" that sound like a big call! leonard nimo panicked people by telling u that there will be quote - ""perpetual snow!"" the power that be changed that one, a well! the new claim became ""burning fossil fuel is melting all the snow!"" they're all tripping over each other, in their bid to try and cover their false prophecies! because of all the falsehood that are being hurled everywhere, they've all decided to change it all to...""climate change!"" grinding face with sweat that way, they don't have make specific predictions, which are always wrong. now, they can take credit, no matter if it get's warmer, or cooler! it's called, covering your backside! angry face with horns",Positive,Negative,Negative
"it a doomsday cult. we've had 20 year to live since thr 1960s. the ice cap were supposed to be gone decade ago, and we were already supposed to be starving. think about how many people are getting paid to do absolutely nothing ""fighting climate change"".",Negative,Positive,Positive
there is no climate crisis. the earth wa warmer in the recent and distant past. it also warmed faster in the past. co2 is beneficial to life.,Neutral,Negative,Negative
not even 200 year of industry ruined the whole planet.,Negative,Positive,Positive
