Comment,sentiment
"plant love co2, and we need plant to live. i believe control of the world's energy resource are the undermining goal of this propaganda.",Positive
more bull!,Neutral
"im retarded and global warming is scare, i went through public education system",Negative
rubbish absolute rubbish all man made to support the narrative,Positive
"we trust the deep state mm,",Positive
comment from those who reside in state of denial are part of the problem & not contributing to solutions...until an event that make it personal. farmer & many of u aren't confused a we seek how we can work together so the human species can survive in our environment peace symbol droplet globe showing Americas,Positive
lie,Neutral
"in a habitable world ,will make u stronger fixed bikes .",Positive
"private jet should be outlawed, more rail, bus or trolley route and bike lane everywhere.",Neutral
the cheaper for solar and wind will not be cheaper if it take off again it will skyrocket in price .they want there billion for it a well.,Positive
there are over 8 billion carbon footprint currently on the earth. i think they want to take that down to half a billion. you are the carbon footprint that they want to reduce.,Positive
there must have been a lot of climate change in the dirty thirties. wood,Negative
"world weather attribution group say this is all about climate. duh. every day it changes. and the reason (so simple) people are struggling with the heat is because govt. ha been spraying in front of the sun, playing god and then they stopped? to make people suffer that would have naturally acclimated to the heat. but noon, some suiciding scientist have to lie about the truth, who did this. we know who did it and one day it will be payback time.",Positive
"so let me recapitulate the climate change is responsible for climatic event that indicate climatic change ? *holy holy!!!* i cried, still am. thank you that wa a great laugh to start the day.",Positive
you should report on radio frequency being used to alter weather patterns!,Neutral
it’s a bit weird how all these international body say they want to use climate change a an excuse to seize control of industry and all of a sudden a bunch of dangerous climate change related event start happening,Negative
no one cares. push u n agenda for sustainable development somewhere else.,Positive
"lol, ridiculous if people believe this propaganda climate change is real and it's been happening for million of years. tax u and it will all go away grinding quitting face",Negative
million will starve thanks to the current government and it policy . there goal to cut food production by 30 to 50 percent will come true. cut fertilizer by 30 % cut food production by up to 50 percent. only some one that life in toronto think this will work. all supported by the liberal subsidized medium .,Negative
"1) why are you surprised at a drought in the american desert? 2) a drought that would only be seen once every four hundred years? how could that possibly be established? 3) the water ha to be somewhere, is it all in the ocean? is there anywhere on earth that ha higher than normal rainfall? 4) soil sample from across the globe or specific areas? 5) why am i left with more question with answer when it come to global reporting?",Positive
one word desalination,Neutral
straight from covid to climate change just like those conspiracy theorist predicted.,Neutral
a conservative government cannot come fast enough.,Neutral
"if we had a carbon tax, we might have avoided the five major ice age million of year ago.",Negative
"why don't everyone look up "" harry"", please discus what you find with this money laundering scheme.",Positive
"in term of the environment, it is necessary to re-evaluate climate change efforts. so far, the climate change movement ha not prevented one square meter of land from reading, saved the life of one person or animal, nor is responsible for the removal of one single piece of garbage from the roadside. this vastly expensive effort ha yielded no results. on the other hand, there are 200 year of environmental damage from industrialization which need to be restored. countless species have either been heavily damaged or destroyed. the climate change movement ha taken so many resource away from these tangible problem and their feasible solutions. the concept of climate change ha become so big, most other environmental problem are sadly neglected. so not just for the sake of the economy, the environment need the government to downside climate change spending and efforts. we need to concentrate on feasible solution to tangible problems.",Negative
"take your climate change woke psycho propaganda and shove it global news. your a plague to society. government fed propaganda machine. we have people dying non stop of update you deadbeats, inflation. liberal agenda is a greed fueled criminal act",Negative
"yeah, right.",Positive
remember those river that were drying up in germany and in europe and stone started to be exposed. and on those stone were message chilled into them telling them that thing are not going to be good if you see this stone. that's cup they had a drought back then too. this climate change stuff is just getting so boring. there are report right now the sun is plating.,Negative
news flash. the climate on earth is always in a constant state of change and ha been for million of years. why do you think cold place on earth used to be tropical. man made climate change is a myth.,Positive
"you know what canada should do, keep ruining our economy in order to bring the global temperature down .000000001 degree over the next century thumbs up",Negative
the frequent number of sun flare whip are responsible for it all.,Positive
climate change hahahaha cry some more about muliputive nonsense political agenda get real ..,Negative
laughing my ass off,Negative
beware of the invisible boogeyman (especially when taxing you more is the cure).,Neutral
is it sun 12/11yearly solar,Neutral
"the dirty thirty wa also climate change and partially bad farm practices. the climate ha been changing since the world wa formed, we are moving closer to the sun and people don’t want to address over population . there is no way by 2030 or 2050 the biggest pollinators will have it under control. canada is such a tiny percentage it really ha no bearing on air pollination. i don’t think weather catastrophe are ever going to stop. scientist aren’t anywhere near a smart a they think. that’s reality.",Negative
1.5 billion poor people will be murdered by the fascist liberal loyalists all in the name of climate !,Negative
no way it real?,Negative
"climate change = supporting open/russia/china... whilst our own north america leader hand our country over to foreign entities, cough cough... (2019 great thunder (who paid her to speak?), 2020 covid, 2022 ukraine, next world war 3?)",Positive
"people need to stop buying this green propaganda nonsense, it's just another way to control your life",Negative
"i've been trying to find out the environmental impact of war. all the fire the weapon and destruction in conflict must have a big effect, is there a link between war and weather and climate change?",Negative
solar cycle driven.,Neutral
"these people (world weather attribution group) wont even link to the study they are talking about. they say they looked at crop (agricultural drought) but claim ecological drought caused by climate change. i wonder what other factor they looked at before blaming climate change. i'd like to see the study but it's mysteriously hidden. this tell me it's a political group, not a scientific one.",Negative
shut up,Neutral
the west wont do anything about climate catastrophe. our government are important when it come too the need of it's people. the corporation own our government and they get everything that want,Negative
i think the grand canyon is like that il,Positive
"yes, climate change is connected to droughts, but no evidence exist that it wa caused by man made co2.",Negative
gf.,Neutral
weather manipulation is real. they've been doing here since the 40's. you can't tax your way to convenient weather. this is nothing but a gift.,Negative
stop the lie and spreading this misinformation. climate change is a naturally occurring phenomenon. quite using climate change to push political agendas.,Negative
so why is the shift to nuclear energy so slow?,Positive
climate change linked to leftist hysteria in new study.,Negative
i wonder what early man blamed ?,Negative
"well, then you should start screaming at china, since that country is, by far, the biggest contributor to climate change due to it massive, world-leading amount of co2 emissions. china, the #1 emitter of co2 in the world. china, the #1 emitter of co2 in the world for the last 17 year in a row. china, the country which emitted more co2 by itself in 2021 than did the next seven nation combined. china, the country which ha emitted more total co2 since 1990 than any other nation in the world. china, the country whose per capt rate of co2 emission is already greater than that of germany.",Positive
blablahblah,Neutral
then why wa it raining so much this year in british columbia,Neutral
the earth ha had enough of our capitalist greed and ha began riding itself of human while our stupid politician keep trying to create more greed. how stupid we are a voter to continue to elect them.,Negative
climate change??!! try weather wars.,Negative
pure unadulterated gaslighting with a full measure of ox pile of poo,Neutral
maybe if they stopped with all the chem trail it would help.,Positive
let’s try controlling something smaller first like a river flooding or cleanup garage stopping the world from warming seam like a big task for human right now in the winter time they are going to say it’s too cold or too much snow and when it melt it too muddy,Positive
"a new study say that climate change caused covid, fentanyl addiction, human trafficking, liquor store robberies, shark attack and an increase in finding to study climate change.",Negative
u government control the weather they created a drought,Positive
a if climate scientist haven't been warning this would happen for decades...,Positive
"cloud seeding, weather bomb (australia) h.a.a.r.p & geo engineering is causing so called climate change. by the 2at bill gate want to block out the sun because it's too hot laugh out loud",Negative
why are their chinese police station monitoring chinese canadian?,Neutral
they sky is falling,Negative
"if the severity that is described by those who stand to profit the most from climate change infrastructure wa accurate, then government would be throttling back much more industry than they are. corporate greed conquers all.",Positive
climate change linked to all horse sheet,Neutral
"liberal party of canada thinking, if we charge you more tax we can change the weather. never mind that a slight variation in ocean currents, or a little variation in solar activity have more direct effect on climate than anything else. and don't even think about asking question about the cause of 1930s 'dust bowl.' the change is -real- because we say so.",Positive
the 1.5 billion mask in the ocean are a small price to pay to protect one from climate change.,Positive
"have we crossed the point of no return in term of damaging the planet? there is no such point. we need to trust that our thought, which is our greatest quality, can change nature. we only need to understand the direction to which we should aim our thoughts. what should we think about? what condition or state should we aspire to and ask for? in order to save our planet, we should think about positive human connections. that is, how can we, in our connections, keep nature safe? how can we all together protect our world? if we truly wish to better our planet, then we should see people holding a concern for how to positively connect everywhere that we look. it ha nothing to do with recycling or other activity that we commonly associate with a being sustainable. if we come closer to and consider each other, that we will reach an entirely organic, perfectly connected and round state, then the negative force will disappear from the world. we need to understand that if we start thinking better about each other, then the planet will recover from all harm, because our thought are the strongest force in nature. likewise, our negative thought about each other are entirely to blame for damaging the planet. that is why the more we recycle and invest in energy and activity that we commonly think of a being sustainable, the worse our planet becomes. nothing will work to benefit u until we reach a state where our attitude change toward each other for the better to protect and improve our planet.",Positive
my awd! tu status es! newsflash... the climate ha always been changing and will continue to. it wa changing eon before human arrived and will change for eon after we are gone.,Positive
glad europe is being cut off from gas and oil that should be bit le pollution,Positive
trudeau ha the largest carbon footprint of any canadian. we should start by eliminating him!,Positive
"perhaps this study may not convey all the facts. likely, it’s possible but, no one is saying it is directly caused by humans. i can use the same word to skirt the issue a well.",Neutral
global news need to talk about costa they are a search engine that plant tree,Neutral
of course it is... warning face . billionaires.... fighting climate change one container ship from china at a time.. one bomb at a time. one blockbuster film at a time.,Negative
climate ha been changing for million of year before you were here.,Positive
drought linked to gee 0 engineering!,Neutral
stop manipulating the weather and it will correct itself,Negative
would a story saying anything else ever be published?,Neutral
"fakenews drought isn't caused by climate. drought is caused by improper water management on the ground. what go up must come down, water evaporated and it come down a rain. the reason why those drought happen is because once the water come down it ha no place to be stored and it just flow away into the sea. or it get absorbed by farming heavy water usage crops. or it get sequestered by some dam upstream.",Positive
"if they want one steady climate they’ve got a lot of weather manipulation to harness. they can’t cry at every change. next, when it rains, they’ll say it’s flooding. mental",Negative
"better tax the average consumer, and throw more money at “climate change… that’ll make it all go away smiling face with smiling eyes Of hand",Positive
plastic money made via carbon tax will save us.,Positive
triple the carbon tax. that will sure fix it,Positive
the u.n. never give up on over hoping natural activity and somehow pinning them on man. no honest science from these charlatans. maybe obama should build another mansion on a threatened coastline that he claimed would be under water by now.,Positive
polar recap aren’t constant. they come and go. i wouldn’t call it anarchy.,Neutral
are we gonna die? is there a 2012 tsunami coming?,Negative
better tax it so it stop face with tears of joy face with tears of joy face with tears of joy,Positive
"ok guy grade 6 science.. put ice in a glass, fill with water a full a you can make it, ice will be citing higher then the glass. what happens when the ice melts? nothing the water in the glass will stay at the same level without overflowing. ice that is floating on the surface ha already displaced the water melting it will do nothing. all the ice can melt break off nothing will happen to sea level.",Positive
in the 70-80's we were going to be in an ice age. late 90's we were going to drown by 2012. still waiting on the climate scam to happen.,Negative
don't mention the massive ice breaker canada russia use breaking ice that naturally wouldn't be broke for shipping it always climate change effect of ppl but never that special word natural variation our contribution to climate are so small that it can't be measured above or below natural variation... and what the radical climate alarming want to do would obviously be more devastating to mankind than what ever the climate throw at u that we can adapt to like wa always do . smiling face with smiling eyes,Positive
floating chunk of ice....who...the ....fk.....cares.,Neutral
regardless of his accent i’m glad he talked slow & clear where i could understand him. smiling face with smiling eyes,Positive
human are not in control…the planet ha always gone through climate cycle since time began & will carry on a usual no matter what human do…,Positive
i dont understand why i'm supposed to try to stop the ice from melting. if the cap melt and the earth adjusts it temperature. what am i trying to prevent? do i need more or le clothes i don't get it.,Negative
can't this cause a great flood depending where it head to?,Negative
i`m sure for all the other animal on this planet we can't destroy ourselves quick enough.,Positive
"wait, so all my carbon tax hasn’t helped this poor iceberg?",Negative
what a waste of time ..... this is great!!!!! this mean more clean water for the world in the water pool .... or maybe more water for castle,Positive
"we should pay more taxes,that’ll help",Positive
"i don’t agree with the old man at the end. ha nothing to do with fossil file or at least very little. it’s all to do with magnetic pole reversal, effect everything down. airflow current and magma under the earth crust. carbon tax is the biggest fraud they have ever put into u working class citizen in earth",Neutral
well time to prepare for the flood,Positive
doe anyone else remember pablo the penguin?,Neutral
i don't trust computer model because data is always being manipulated for political reasons.,Negative
"all that ice melted and there's no major flooding caused by it, the ice is sitting in the ocean already displacing most of it volume, they're cry wolf when there's no wolf.",Negative
and how did you get to antarctica. well we flew there on an airplane that use fossil fuel. next video.,Positive
"clownshoe science still ha a clown in the shoes. the shoe dont make the scientist. the scientist make the shoes. and all the makeup and glitter wont change the fact that the sun is in control, not mankind. you can hook the horn all you like. and ignore all of the reality of the full field of science that say it the sun, it time for a 6k and 12k cycle repeat, thats fine. the reality is, none of the modern world will last more than fifty year from now.",Positive
"oh, no, more scary nonsense from another mystical ""expert."" i guess we'd better give more money to the politician so they can protect u from the boogeyman.",Negative
so an iceberg moved after being hung up for 30 year and now the world's going to end grinding face with sweat grinding face with sweat grinding face with sweat grinding face with sweat that's what iceberg do they move,Neutral
this can't be good for the prospect of global warming... surely we are capable of stopping this happening?,Positive
"oh my an iceberg moving, oh no climate crisis end of world, you people need a real job",Negative
"no arctic ice by 2012 no more polar bear unless you pay a higher ""price on pollution"", of course. just spare u the propaganda.",Negative
more and more people are waking up to the bold-faced lie and climate change propagandists.,Neutral
"here come the climate change, fear longer grinding quitting face",Negative
send 1000 drone with 4k camera south. free antarctica!,Positive
funny how it’s only the liberal mentality cry about climate change. education is key to understanding our changing world for 5 billion year,Negative
"the usual climate change denial on the comment below, and the same stereotypical arguments climate change always happened... yes it has, but human have evolved in a largely 'stable' climate. the pole are not melting... yes, they are, this ha been proven and ha been happening for decades. it doesn't matter if the pole melt... yes it does, the sea will rise ""100 metres,"" billion of people could be displaced, and million more die! *these people 'shoot their mouth off' but unfortunately the last thing they do is ""think"" and do their 'research?'",Positive
"the sky is falling, give the government more money.",Negative
"hey, great britain United Kingdom i'm very worried about it going into the peninsula, which is a feeding and breeding ground for the seal and penguins. penguin if it slam into the peninsula, i only shoulder to think what will happen to the seal and penguins. im sure they are safer there from predators...these animal are likened to the dog and cats- of the sea...please watch over these fragile creature !!!",Positive
better raise tax so the government can pretend to control the environment!,Positive
yes but jordan peterson say it doesn’t exist. thinking face you are not more qualified than a phd in psychology.,Positive
so many smooth trained climate alarming in here wow.,Positive
aawweeesomee!!! now make multiple climate article about it and slam it with ad and anti-blockers,Negative
lie !!! you human broken and touch the ice!!!,Negative
"blah blah blah it all fear wondering to try to push climate protests, we been hearing news about this for year nothing new is happening",Negative
to stop the iceberg melting we have to make sure we got the booster shot up to date. .,Neutral
blah blah blah fear fear fear control control control,Negative
if antarctica thaw we will be ending off nephilim who we stole their fallen angel technology,Negative
when will mankind realize we can’t stop nature,Negative
why aren't those living in antarctica paying a carbon tax?,Neutral
planet is fine they just want a reason to tax for for existence.,Positive
"this is your brain brain , this is your brain believing in climate change cooking . don't believe in climate change.",Neutral
it could ...... it might not . it should ..... it shouldn't. sound like my ex girlfriend when she cant make up her mind what to wear,Negative
you can thank oil & gas company for all this melted ice..,Positive
only thing that will fix this issue and push the ice berg back is more higher tax’s. if we starve the blue collar more it will help climate change.,Neutral
titanic 2 starring the rock and john cena a the iceberg,Neutral
"climate adaptation strategy are crucial, preparing community to weather the inevitable impact of global warming and fostering resilience.",Positive
wonder how many $ worth of fossil fuel are used up to keep a close eye on climate change? fueling this carbon tax too thinking face,Positive
i wonder if the axis ha shifted over the last 50 years.,Positive
"when iceberg melt, the sea level lowers. Happy",Positive
antarctica belongs to the penguins.,Neutral
mother nature's defense against warming ocean temperature,Positive
"ok. guy's got a teleprompter on his little ship and video of penguin moving around, but where is the video of the portugal size ice cube?",Positive
iceberg are 70% below the surface and therefore have very little impact on sea levels.,Neutral
"of course, all the busy government doing all their nefarious supply chain war ha caused issue that they blame the tax payer for calling it climate change. stop lying to why?",Negative
well if it do happen is because god allowed it..,Positive
lie and propaganda to push fake climate change.,Negative
"antarctica iceberg generating , warning of worldwide climate change itself , melting of iceberg water level will may go higher",Negative
"i find it ""rich,"" that all these corporation are jumping on board this climate change band wagon meanwhile they engineer obsolescence into their product for u to consume while them along with our government continue saying ""we use too much."" big money buy big government.",Neutral
i think there's more than climate change happening in antarctica.,Neutral
climate change fear factor,Negative
"if the ice melt expect penguin polar bear and seal to move into tent city near you.,,,",Neutral
"indeed. it doesn’t stay in antarctica, consequence can be seen at first sight.",Neutral
what other thing can we speculate and guess at...mmm what will butterfly do next decade? will deer population go up or down? will dachshund win at westminster this year?,Positive
seawater beware in the southern ocean.,Neutral
"well the ice hasn’t always been there so scientist should assume we can live without it there again. don’t understand why scientist never talk about human overpopulation just human pollution , which is the symptom not the cause. nature continually try to control overpopulation. reality!",Positive
"matthew 24 7 for nation will rise against nation and kingdom against kingdom, and there will be food shortage and earthquake in one place after another. matthew 24 14 and this good news of the kingdom will be preached in all the inhabited earth for a witness to all the nations, and then the end will come.",Positive
the arctic will become semi tropical a it once was. check the paleo climate record and the fossil records. nothing is constant on planet earth.,Neutral
"cool your jet drama queen. polar shifts, solar cycles, interracial period all play a part. the earth changes. get used to it. i'm kind of excited to see what's under there! i mean, other than the secret alien bases. hey! maybe there will be huge oil fields!",Positive
just here to see right winger say it's all cgi.,Neutral
natural cycle,Positive
oh oh....dr tam quickly help,Positive
global cooling is what human cannot survive!,Neutral
so i remember them talking about this when i worked for greenpeace in the summer when i wa in high school.,Neutral
another politician that think people should believe his lies.,Negative
all these shot are clearly not of the iceberg but of rock on solid land. the scare tactic are pathetic,Negative
"it is almost like we have dig a giant hole into the earth and drain the ocean into the ground where it can meet hot lava and somehow vaporise into the atmosphere raising humidity into untold levels. in other words, this world, we are all fk'd and cant' think of a single thing to about it. maybe, moving away from any coast line and making your way to canada and support the polar bear and their little, starving, children.",Positive
"warning ,what can we do about it, it’s a natural process",Neutral
so can these guy explain when north america wa under 10 meter of ice during ice age quest alot of suv back then,Neutral
"thanks china China for - building more and more *coal-fired power plants,* and - burning more and more *fossil fuel.*",Positive
"antarctica, perhaps. i think it wa last year it had record average low temps. it highly speculative to assume one year alone will not dictate the future in either direction. nonetheless, historically climate change over time regardless and oscillator hot then cold then hot again.",Negative
clearly more carbon tax can remedy this,Positive
well i am safe in alberta! rolling on the floor laughing,Positive
global warming anybody? grinding face with sweat smiling face with smiling eyes face with tears of joy,Positive
the un? mfa face with tears of joy the un says... face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy,Positive
a23 where going trip ?,Neutral
ice either grows or leaves. it doesnt stay the same. if you still buy it. youre an npc.,Neutral
you gotta love penguins,Positive
hhh! we're all going to die!!!,Negative
well i came to see the iceberg but he look good too,Positive
the climate narrative keep shifting,Neutral
f ing lying.,Negative
the ref once again… we slave soon,Neutral
"american (& so, probably everyone) are still installing gas stoves! when we need to eliminate them! and remodeling house is destroying the earth new carpets, floors, walls, everything! and none of them should have ever been built! because we should have built on tower city connected to male train because none of these climate change horror would be happening! when wildfire destroy hundred and thousand of home th crying face just rebuild! human are insane and destroying themselves and their own child and grandchildren!",Negative
keeping arena rights on to play with ball after sunset ha caused big global ball to overhead,Positive
"it's god! have you read the book of revelations? the ""experts"" are going to kill everyone on the earth.",Negative
solar ; sun and are also a problem to the earth,Negative
"scientist said a mini ice-age wa inevitable back in the 70s, then they said everyone would die from acid rain, then they said global warming would cook everyone so these people have no credibility.",Negative
"what do the rich, famous and world leader all have in common? they all own beach front property and don’t actually give two poop about the fake climate crisis",Negative
2 thing which are not changing human right and climate change 2 thing people gather to talk about human right and climate change,Neutral
"all relating on china China , including japan, south korea and india, eu",Neutral
"human only count for le than 1% of green house passes, don't fall for their climate agenda to grab power.climate change come from cycle called malinkovitch cycles. every planet is warming up it's not caused by humans.",Positive
"this year, many country are badly hit by climate disasters, no matter rich or poor nations. climate change is the most serious world issues, all the world must play active role to stop co2 emissions.",Negative
face with tears of joy . can't wait for mad max.,Positive
"carbon dioxide is one of the major gigs and a driver in the domain of climate change. in the drive to mitigate and adapt with the issue of climate change, carbon trading ha become a vital policy instrument in majority of the country in the world. it is also a pivotal element of the unfccc’s approach to tackle climate change. national or regional carbon trading scheme are now operational in many county through a well-defined structural policy, specific for the country. yet the trading is still in a volatile stage. many school think that this concept is not very realistic to combat climate change, while others consider this a strict regulation to put cap/limit on the emitter. unfortunately, the subject is characterised by jargon, abstract concepts, mathematical formulae, and technical detail, making it hard for most people to understand it implication and evaluate it merit and merits. this paper is a first order analysis to unravel some of this complexity by importing thrust on three basic component – cap and trade, carbon offset and carbon trading – which undermine the trade in carbon quotas. the case study of the highly urbanized city of kolkata and indian sundarban mangrove ecosystem ha been discussed in detail with co2 – e of dominant tree to analyse the probable credit that can be received from the producer community of these two site that are significantly different in term of anthropogenic footprint and ecological features. contact abhijit mira",Positive
there is no saving climate change because this world still allows evil wicked people to still do evil god is judging evil wicked people. the world leader are not taken god warning to stop the evilness and wickedness of the earth. but the leader are not listening. also this is evil wicked leader fault.,Negative
"you don’t have to convince scientists, you might need to convince wealthy people who have a strange hold on the mean of production and the hoarding of capital who would sacrifice all of u to feed their greed and hold on power. when will common american wake up and slap down these good !?",Positive
hi. why after 30+ year of climate change prediction they are at 0.0000% right. absolute 0.0%.,Neutral
it man made alright. also known as. geoengineering and weather modification. the elite are in the midst of the great calling. behold we are the carbon they want to eliminate. stop listening to these wicked people and research for yourself.,Positive
china also ha 1.4 billion people. the u ha 333 million. so per capt the u is by far the biggest emitter of co2.,Positive
rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing what a farce,Positive
"imagine the low iq required to believe climate change is anything other than another phrase for seasons. season naturally occur every year, are healthy and required for the earth and it inhabitant to live. the world's temperature ha not risen, the world is not about to end, nor should we be concerned. live in reality.",Positive
but nobody with the power to really change things listening disappointed face,Negative
microwave radiation,Neutral
"even if we went to 1800 we probably the earth is or wa influenced by human behavior. could there possibly 1,000 year's of lag?",Negative
"climate change is a lie, the liberal just want money & control.",Positive
"this is bullshit, every time a natural disaster hits. ,,you people always use that to push your agenda ,,you use natural disaster for your political gain",Negative
"by volume, the dry air in earth's atmosphere is about 78.08 percent nitrogen, 20.95 percent oxygen, and 0.93 percent argon. a brew of trace gas account for the other approximately 0.04 percent, including the greenhouse gas carbon dioxide, methane, citrus oxide and ozone. to think that a small increase (200 part per million in the last hundred years) of carbon dioxide would affect the weather is ridiculous.",Negative
"you can, physically, walk out of the survival atmosphere ...pumping huge amount of chemical into it is; problematic",Negative
wrong solution,Negative
blah blah blah! - great thunburg,Positive
the sky is falling! the sky is falling!,Negative
there is nothing you can do to stop climate change. it ha always changed! it will get warmer until it get colder again! if you put all your green agenda and achieved all your markers… you won’t stop the climate from changing!,Positive
quick!!! someone warn obama that his hundred million dollar investment at martha's vineyard is going to get submerged.... only the dumbest think global warming is real. the smart people paddle it and profit from the stupid.,Negative
"“50 time a likely” so, the climate change denial response will be , “yes, but that mean it might still have happened” and we all smack our forehead in disbelief. the graph shown here are only part of the story. a convenient story which says, “ah, but china”. a key missing graph would be the one which show which country have added the most carbon dioxide to the atmosphere in the last 100 years…. that graph is just a relevant, but doesn’t tell such a playable story.",Negative
lie,Neutral
earth is cooler w atoms/wv/30% albedo not warmer. ubiquitous the heat balance graphic don’t + violate lot. kinetic heat transfer process of contiguous atoms process render surface bb impossible. the = bogus&cage = scam.,Negative
graph last 500 million year show we are in the middle of temp rise or lower. these clown are looking last 200 yr (just a blink of time) your told glacier melting ... true but others are growing. remember hole in ozone wa cooling planet and removed arousal (hairspray) etc ... hehehe they where wrong so same people started this new approach looking at temp last 150yrs. look at graph last 150million yrs. but that don't match so it's 150 yrs. a joke !,Negative
abc is fake news.,Negative
not maintaining damn's cause that accident total bs.,Negative
"bs! i call bull on this, this is a boon for those “scientists”, this is how they finance their future.",Neutral
"human will not solve the climate problem they do not have the will or capabilities revelation 11 18 ""but the nation became grateful, and your own wrath came, and the appointed time came for ... to bring to ruin those ruining the earth.""",Negative
"magafans, poorly educated. cant comprehend.",Neutral
"brr. climate change just nuclear lie httpsConfused/videos.blogspot.com/2023/11/climate-change-just-nuclear-lies.html after the chernobyl incident in 1986, nuclear power wa desperate to justify it continued existence. so he paid it academic stage to conducted manage global warming.",Negative
"time for facts.... there ha been no increase in hurricanes, tornadoes, floods, droughts, heatwaves, or wildfires. there ha been no rapid rise in sea levels, if any at all? there ha only been a surface temperature increase globally because of nota and nasa artificially inflation numbers, to fit ipac models, which have never been correct. there is no proof that there is a ""climate crisis""",Positive
"you know they keep talking about global warming effect escalating and causing all these back to back ""1000"" year flood and disasters. i wonder why when they talk about the cause of it, no one ever brings up the cloud seeding that's been going on. isn't it possible that messing with the cloud is messing up the whole system and causing some of these effect that are being blamed on global warming. the way thing seem to be escalating at a much faster rate than expected, shouldn't that possibility at least be part of the discussion? they call themselves trying to solve a problem by tampering with the cloud and the weather with weather modifying technology but what if it's making the problem worse and speeding thing up.",Negative
scientist sounded the alarm on climate change in the early 1980's...,Negative
""" if building had happened floor there wouldnt be any forest fires."" !!!!!!! the only thing you can say about trump and climate is that he ha net zero brain cells.",Positive
man cannot control climate change.,Neutral
"there have been flood the same for 10000 of year ,the democrat just want their fake global warming money",Negative
"according to geological record for the past 600 million years, global temperature range from 8°c to 22°c, now 13°c. there is no relationship between co2 and temperature. anyway, co2 dropped from 7000ppm to current 350ppm. why the urgency to freeze million of people to death? i may be wrong; none of the countless end-of-the-world prediction ha ever come true. climate modelling is junk science paid for by profiteering groups.",Negative
yet these fool have no idea what they speak of. any model is made up number and they can make the outcome a they desire. it’s all a lie.,Negative
EE button face with tears of joy human caused climate change victory hand necktie studio microphone did human cause the last 5 mass extinction events...,Positive
"climate change is an absolute lie, and the mass is being indoctrinated through programming to believe in a bogeyman that doesn't exist. why? to totally enslaved you. wake up! this war is spiritual, and not natural. jesus is coming soon.",Negative
"texas is hot, but i remember when it wa colder in october",Neutral
we need to ban cooking at home. if you burn food it creates carbon.,Negative
"fyi, the climate is being changed by intentional geoengineering, not normal human activity and cow arts. look up at the line in the sky and research weather modification technology, with over 700 patent now in use - the loyalist elite are creating the change in order to fully control humanity.",Positive
how about going back to 1 billion people?,Neutral
"so the local who have been complaining for year about crack in the dam and the need for maintenance must be lying. i hate people exploiting a crisis to further an agenda, fortunately the medium would never do this.",Negative
not climate change. they did this. this wa planned,Neutral
the flooding in libya wa caused by a dam that burst. how the heck is this climate change? quit lying!!!,Negative
"what a laugh the world think this is climate change is due to men, read deuteronomy chapter 32, and ask your father in heaven to reveal to you the truth, and practise 2 timothy 2 15-16; 1 john 2 26-27",Positive
"i remember commenting year back on a video with heavy smoke and some people commenting on my comment ""can't cause client change"" ""no such thing"" - - yeah ok i know nothing laugh out loud",Negative
absolute propaganda bullshit !!!!,Negative
funny how climate change about 4 time a year in a big way and within those big change climate change every day . yeah stay in door and the climate never seems to change. so anyone worried about climate change please stay in door,Positive
"97% of climate scientist agree, they don’t want to get defended person struggling dark skin tone",Neutral
there is proof that we are coming out of an ice age. what happens when we come out of an ice age? the earth gradually warms up!!,Positive
thank you for a great and depth explanation of this very urgent and important subject man made climate change! thank you ginger for a great piece clipping hands,Positive
"poor infrastructure built 50 to 100 year ago put u all at risk. also wonder about other weather engineering. we have the knowledge to build structure that will withstand the challenge of modern civilization, we just want to approach this the hard way",Negative
if earth had a say... she will commence with the changes. human only have one choice. prepare.,Neutral
"omg...the end is near. this bullshit ha been going on for 35 years, ever since ""the godfather of climate change"" james hansen testified in 1988 in a room where the senator supporting his testimony intentionally defeated the air conditioning so a to make the room hotter. so many failed prediction have been made since then; i cannot understand how anyone who's actually been exposed to all the information could possibly believe that co2 is dangerous and will bring an end to this planet. the biggest scam of our day.",Negative
"any thing is a excuse for climate change. this is fake news, going around in circle.",Negative
when i want to heat up my food i use a microwave oven....when i want to heat up the earth i use 5g.,Positive
"what about the scientist who are part of lintel ?, lack of maintenance due to western sponsored overthrow of a government.",Negative
all lies!,Negative
